Real_Duration,Status,sentiment,complexity,Comment_Body,Edge_type,Count_Comments,language[Comment_Body],Planned_Duration,emotionality,Count_Subtasks,keywords[Comment_Body],sentimentWords[Comment_Body],Uuid,Name,SourceUuid,TargetUuid,Starttime,Endtime
,closed,,,,CREATION,1,ro,,,,,,7fb389d7-88ef-4f28-900c-ebc3c67fa12c,gTile after recent commit not working in Cinnamon 3.2.7,21959071,21959071,2019-01-08T11:22:19.000+01:00,2019-01-08T11:31:43.000+01:00
,closed,,,,CREATION,0,ro,,,,,,bf9ea1d6-64b6-4767-9299-d79546f142e0,DesktopCube@yare - Make compatible w. Cinnamon 4.0,33965039,33965039,2019-01-03T19:31:19.000+01:00,2019-01-03T21:48:45.000+01:00
,closed,,,,CREATION,0,ro,,,,,,14ef2d5b-741d-49bc-b0d5-517cdc668039,Update Transparent panels v4.0~20181106 (transparent-panels@germanfr),10391266,10391266,2018-12-29T20:21:01.000+01:00,2018-12-30T07:57:15.000+01:00
,closed,,,,CREATION,11,ro,,,,,,77a53d9a-64c0-4f3f-87bc-8061ccf7571e,Update Watermark v4.0~20181227 (watermark@germanfr),10391266,10391266,2018-12-27T13:32:52.000+01:00,2019-01-28T09:33:37.000+01:00
,closed,,,,CREATION,2,ro,,,,,,46a4fe16-ed83-40e3-b3ee-573630997532,transparent-panels@germanfr: update tr.po,1300133,1300133,2018-12-27T11:38:04.000+01:00,2018-12-27T20:57:34.000+01:00
,closed,,,,CREATION,0,ro,,,,,,e81dcb1c-0ccf-4728-8890-893f940470cb,gTile@shuairan: add tr.po,1300133,1300133,2018-12-25T13:13:25.000+01:00,2018-12-27T14:43:47.000+01:00
,closed,,,,CREATION,0,ro,,,,,,9a5f45b8-4943-49bc-ad4b-06baa0af33c7,workspace-scroller@ori: add tr.po,1300133,1300133,2018-12-25T13:11:29.000+01:00,2018-12-27T14:43:38.000+01:00
,closed,,,,CREATION,0,ro,,,,,,068ad4d5-25d2-4c4c-b027-55d333966079,gTile@shuairan: Reset tile mode before resizing window,150479,150479,2018-12-17T19:51:29.000+01:00,2018-12-18T02:14:37.000+01:00
,closed,,,,CREATION,0,ro,,,,,,4da3d05f-f70d-4333-8619-e431a3b9e359,gTile@shuairan: Deal with complex panel configurations,150479,150479,2018-12-14T09:20:07.000+01:00,2018-12-14T20:08:18.000+01:00
,closed,,,,CREATION,0,ro,,,,,,f47117ef-0d4f-4b49-83bc-92c9c5017c80,gTile@shuairan: Center grid in focused window,150479,150479,2018-12-13T11:58:48.000+01:00,2018-12-13T13:36:46.000+01:00
,closed,,,,CREATION,0,ro,,,,,,7af711a9-eb3c-4d8b-91f8-7f27da6a5c7b,repo: Add a utility for reloading extensions on code change,6859057,6859057,2018-11-16T01:12:04.000+01:00,2018-11-17T17:51:27.000+01:00
,closed,,,,CREATION,6,ro,,,,,,efe78aa8-a779-400c-93f8-043feac7d6ee,watermark@germanfr: Create da.po,7993570,7993570,2018-11-08T18:14:50.000+01:00,2019-02-06T07:27:29.000+01:00
,closed,,,,CREATION,0,ro,,,,,,3747ee14-5220-4856-b73d-5c45a2696d52,gTile@shuairan: Update da.po,7993570,7993570,2018-11-08T17:30:40.000+01:00,2018-11-09T00:13:11.000+01:00
,closed,,,,CREATION,0,ro,,,,,,4a08a3ec-aa65-45a9-9e7e-203977c3569b,Update Watermark v4.0~20181106 (watermark@germanfr),10391266,10391266,2018-11-06T20:48:18.000+01:00,2018-11-06T22:27:57.000+01:00
,closed,,,,CREATION,0,ro,,,,,,cff56989-ad80-41ee-89a7-9afc79b087a9,Update Transparent panels v4.0~20181106 (transparent-panels@germanfr),10391266,10391266,2018-11-06T20:48:02.000+01:00,2018-11-06T22:28:07.000+01:00
,closed,,,,CREATION,0,ro,,,,,,7b513d69-7af4-4f20-9589-62ede570976d,Update Watermark v3.8 (watermark@germanfr),10391266,10391266,2018-10-27T00:39:30.000+02:00,2018-10-27T16:42:03.000+02:00
,closed,,,,CREATION,0,ro,,,,,,dc6e60e2-b04e-4cf2-be91-73b8c245d998,Update Transparent panels v3.8 (transparent-panels@germanfr),10391266,10391266,2018-10-27T00:39:23.000+02:00,2018-10-27T16:41:55.000+02:00
,closed,,,,CREATION,0,ro,,,,,,3b43d994-da3f-4b04-b6b4-4750c42c4430,Update Watermark v3.8 (watermark@germanfr),10391266,10391266,2018-10-21T21:06:05.000+02:00,2018-10-22T02:36:30.000+02:00
,closed,,,,CREATION,0,ro,,,,,,f70e3215-f931-4a84-ba68-78d15d6f9c15,Update Transparent panels v3.8 (transparent-panels@germanfr),10391266,10391266,2018-10-21T13:52:48.000+02:00,2018-10-21T14:38:22.000+02:00
,closed,,,,CREATION,0,ro,,,,,,f86c76ee-77c5-477c-99c8-1a0d8deb7743,Win7AltTab@entelechy: Misc. clean up,6859057,6859057,2018-10-13T12:06:09.000+02:00,2018-10-13T16:19:27.000+02:00
,closed,,,,CREATION,0,ro,,,,,,7ff5c823-66cb-4f83-9264-f66359360a51,DesktopCube@yare: Make compatible with Cinnamon 3.8+,6859057,6859057,2018-10-13T08:32:34.000+02:00,2018-10-13T16:19:20.000+02:00
,closed,,,,CREATION,0,ro,,,,,,48b9f5f4-2ad8-4987-97b4-446791ed789f,gTile@shuairan: Fix location of readme and changelog,6859057,6859057,2018-10-13T06:43:39.000+02:00,2018-10-13T06:45:28.000+02:00
,closed,,,,CREATION,0,ro,,,,,,34f7ee27-d479-4282-92e4-bcae6c5bbd23,Update Watermark v3.8 (watermark@germanfr),10391266,10391266,2018-10-12T19:56:43.000+02:00,2018-10-13T04:13:30.000+02:00
,closed,,,,CREATION,0,ro,,,,,,3b6241e3-9d9d-45b1-af72-34fd8c1e565f,Update Watermark v3.8 (watermark@germanfr),10391266,10391266,2018-10-12T19:21:10.000+02:00,2018-10-12T19:28:18.000+02:00
,closed,,,,CREATION,0,ro,,,,,,b5121b1c-4932-4f49-9528-93ae4f0c667e,gTile@shuairan: Fix for Cinnamon 3.8+,6859057,6859057,2018-10-12T09:42:14.000+02:00,2018-10-12T13:36:40.000+02:00
,closed,,,,CREATION,0,ro,,,,,,28d138f7-ad2d-4968-9736-c010d3251c6d,gTile@shuairan : not working as of Cinnamon 3.8.9,12385366,12385366,2018-10-12T07:49:52.000+02:00,2018-10-12T13:36:40.000+02:00
,closed,,,,CREATION,2,ro,,,,,,03906a62-13ed-4059-8ab5-fc60572f8ff9,Update maximus cinnamon-version,1476029,1476029,2018-10-08T19:30:04.000+02:00,2018-10-13T04:23:02.000+02:00
,closed,,,,CREATION,0,ro,,,,,,ec48f39f-dc49-49e5-a01f-6e51a653b0a1,Update Transparent panels v3.8 (transparent-panels@germanfr),10391266,10391266,2018-09-19T14:02:50.000+02:00,2018-09-19T17:01:12.000+02:00
,closed,,,,CREATION,2,ro,,,,,,529782b0-5a5a-445d-98fb-aa3b6055dc1b,Cinnamon Tweaks (0dyseus@CinnamonTweaks),26446962,26446962,2018-08-27T05:59:25.000+02:00,2018-08-28T05:16:01.000+02:00
,closed,,,,CREATION,0,ro,,,,,,6eaaa5b9-3ea7-46a0-aef1-3f6f891485d2,[desktop-icons-per-workspace@cardsurf] Added support for Cinnamon 3.8,3139729,3139729,2018-07-20T17:18:54.000+02:00,2018-07-20T22:11:27.000+02:00
,closed,,,,CREATION,2,ro,,,,,,2698f201-7eb5-43e7-8180-f0070c7839ad,cinnamon-maximus@fmete Use get_xwindow to obtain client id,2845433,2845433,2018-07-06T15:19:27.000+02:00,2018-10-13T17:22:02.000+02:00
,closed,,,,CREATION,2,ro,,,,,,a98e1047-cd31-48e1-a027-e4bf052c0aa7,cinnamon-maximus@fmete Use the now supported_GTK_HIDE_TITLEBAR_WHEN_MAXIMIZED,2845433,2845433,2018-07-06T15:02:53.000+02:00,2018-10-13T17:06:19.000+02:00
,closed,,,,CREATION,0,ro,,,,,,3f9ab43d-5dff-4a23-8c82-848a8bfb3731,[desktop-icons-per-workspace@cardsurf] Updated readme,3139729,3139729,2018-06-16T14:13:42.000+02:00,2018-07-02T16:27:40.000+02:00
,closed,,,,CREATION,2,ro,,,,,,2a3c4363-2830-44a1-a710-4c0d3f4bb983,let tracker redefined,17693551,17693551,2018-06-13T22:26:51.000+02:00,2018-10-12T13:36:40.000+02:00
,closed,,,,CREATION,2,ro,,,,,,e3e23a8e-dd22-4019-a94c-20ddf3d3c56b,Win7AltTab@entelechy: Fix for Cinnamon 3.8,6859057,6859057,2018-05-25T20:25:44.000+02:00,2018-05-25T20:28:23.000+02:00
,closed,,,,CREATION,2,ro,,,,,,5995ea7a-91ae-4ea4-b6ed-4b8518760acf,Win7AltTab@entelechy freezes Cinnamon when pressing Alt+Tab,1071625,1071625,2018-05-25T18:17:49.000+02:00,2018-05-25T20:28:23.000+02:00
,closed,,,,CREATION,0,ro,,,,,,9fc7b2a5-91d9-4cec-8f4b-e8c7fe5a8baf,Update CODEOWNERS,10391266,10391266,2018-05-15T17:49:13.000+02:00,2018-05-15T19:07:45.000+02:00
,closed,,,,CREATION,0,ro,,,,,,b4ac5241-ae17-4528-b0e5-f59f80762035,[desktop-icons-per-workspace@cardsurf] Added limitations,3139729,3139729,2018-05-08T17:34:03.000+02:00,2018-05-08T20:04:15.000+02:00
,closed,,,,CREATION,0,ro,,,,,,f2a64924-d7aa-4836-99b2-ab5613e0601e,Update Transparent panels v3.8 (transparent-panels@germanfr),10391266,10391266,2018-04-29T21:08:55.000+02:00,2018-04-30T12:28:12.000+02:00
,closed,,,,CREATION,0,ro,,,,,,7f368f35-12e0-46df-bcf1-1f6e51f3d75d,Update Watermark v3.8 (watermark@germanfr),10391266,10391266,2018-04-29T21:05:50.000+02:00,2018-04-30T12:27:17.000+02:00
,closed,,,,CREATION,0,ro,,,,,,60769227-6381-429b-8420-ca7be58b8d65,Better Transparency for Windows: Extension Removal,7099691,7099691,2018-04-22T17:40:22.000+02:00,2018-04-23T00:07:09.000+02:00
,closed,,,,CREATION,0,ro,,,,,,4208a0a7-67f0-49a6-be35-09de138cde7a,center-center-panel@mohammad-sn: Extension removal,8415124,8415124,2018-04-19T11:33:49.000+02:00,2018-04-23T00:08:05.000+02:00
,closed,,,,CREATION,2,ro,,,,,,3f358747-2881-423f-ba21-02313ebd598d,rnbdsh@negateWindow: Added license,9084941,9084941,2018-04-19T00:24:23.000+02:00,2018-04-19T15:17:22.000+02:00
,closed,,,,CREATION,0,ro,,,,,,932b5cdc-aa13-44f7-8188-efb6d912ea2b,add license info for ShadowParameters@mikhail-ekzi,8678154,8678154,2018-04-18T23:01:36.000+02:00,2018-04-19T11:25:17.000+02:00
,closed,,,,CREATION,0,ro,,,,,,c78f5aa6-a828-43c6-9fd1-9d6ded8641a1,Add license to extensions that actually have it and have no maintainer,10391266,10391266,2018-04-18T20:11:26.000+02:00,2018-04-19T11:11:30.000+02:00
,closed,,,,CREATION,0,ro,,,,,,b9465f74-7504-414b-acba-0f6682e965e4,Indicate @germanfr extensions licenses,10391266,10391266,2018-04-18T16:49:29.000+02:00,2018-04-19T11:38:11.000+02:00
,closed,,,,CREATION,0,ro,,,,,,6b360f3f-6002-479b-982f-47b7468be13c,Update Watermark v3.6 (watermark@germanfr),10391266,10391266,2018-04-16T17:39:42.000+02:00,2018-04-16T18:16:17.000+02:00
,closed,,,,CREATION,6,ro,,,,,,1e806cc1-a766-49ae-9d59-b7040a93b333,[desktop-icons-per-workspace@cardsurf] Add a new extension,3139729,3139729,2018-04-14T07:07:28.000+02:00,2018-04-20T19:07:56.000+02:00
,closed,,,,CREATION,0,ro,,,,,,aebdda9c-bfe8-41a3-8ea6-83dce8a4e6af,Update Watermark v3.6 (watermark@germanfr),10391266,10391266,2018-04-12T23:42:57.000+02:00,2018-04-14T03:39:30.000+02:00
,closed,,,,CREATION,0,ro,,,,,,99625eb4-89aa-43b4-b424-bb77c841ae67,Update Transparent panels v3.6 (transparent-panels@germanfr),10391266,10391266,2018-04-08T14:00:15.000+02:00,2018-04-12T20:01:46.000+02:00
,closed,,,,CREATION,1,ro,,,,,,d8c1e014-0cc6-4632-9da0-b2bb837975a1,transparent-panels@germanfr: Update da.po,7993570,7993570,2018-04-07T19:33:19.000+02:00,2018-04-09T06:23:01.000+02:00
,closed,,,,CREATION,1,ro,,,,,,74732cb6-e98f-4b94-a89f-a8dff6009533,Update Watermark v3.6 (watermark@germanfr),10391266,10391266,2018-04-06T00:38:22.000+02:00,2018-04-12T20:01:06.000+02:00
,closed,,,,CREATION,0,ro,,,,,,b64c8233-52e1-4b40-8390-261bd3ba86bd,ShadowParameters@mikhail-ekzi: add tr.po,1300133,1300133,2018-04-05T19:09:56.000+02:00,2018-04-09T06:03:11.000+02:00
,closed,,,,CREATION,3,ro,,,,,,18a26439-2878-460f-b7cc-e82fe2309a52,Update Watermark v3.6 (watermark@germanfr),10391266,10391266,2018-04-03T00:24:26.000+02:00,2018-04-03T11:52:58.000+02:00
,closed,,,,CREATION,1,ro,,,,,,aa9a2903-81e5-4194-920a-99cc8bc287b4,Add watermark@germanfr,10391266,10391266,2018-03-31T21:35:54.000+02:00,2018-04-02T19:12:55.000+02:00
,closed,,,,CREATION,0,ro,,,,,,a1e6ead0-1f5d-4ed5-ad17-c5f7d9e4401a,Update transparent-panels@germanfr,10391266,10391266,2018-03-26T00:57:05.000+02:00,2018-03-26T04:37:45.000+02:00
,closed,,,,CREATION,0,ro,,,,,,e465e9cb-f7fc-4b96-bafa-c5d39bb958c6,Update transparent-panels@germanfr,10391266,10391266,2018-03-15T20:15:24.000+01:00,2018-03-15T20:38:55.000+01:00
,closed,,,,CREATION,2,ro,,,,,,0fd6780c-aa36-4ae8-bb3e-aaca007c211d,transparent-panels@germanfr: Fix for Cinnamon 3.8,6859057,6859057,2018-03-15T16:56:00.000+01:00,2018-03-15T17:14:40.000+01:00
,closed,,,,CREATION,3,ro,,,,,,c6462340-f15b-40ce-8bd7-9be27f250c90,Update transparent-panels@germanfr,10391266,10391266,2018-02-22T12:11:43.000+01:00,2018-02-23T13:04:13.000+01:00
,closed,,,,CREATION,0,ro,,,,,,5688efec-bee2-4f31-91a2-c5c052adca93,Update transparent-panels@germanfr,10391266,10391266,2018-02-18T00:03:42.000+01:00,2018-02-18T08:59:38.000+01:00
,closed,,,,CREATION,0,ro,,,,,,d62a2321-4f48-4c12-9977-3a973f9c0a9e,"workspace-scroller@ori: Update cinnamon versions, icons, settings. Add readme.",265916,265916,2018-01-02T11:19:38.000+01:00,2018-01-03T00:45:04.000+01:00
,closed,,,,CREATION,5,ro,,,,,,016e08ea-9285-4033-9cef-bd892318bd03,slider@mohammad-sn:Problem after restart,550561,550561,2017-12-26T16:30:11.000+01:00,2018-09-02T22:03:00.000+02:00
,closed,,,,CREATION,0,ro,,,,,,57903bf5-e498-47e6-b93a-6b583dc35a86,gTile@shuairan: add sv.po,2996154,2996154,2017-12-15T06:52:24.000+01:00,2017-12-15T19:06:04.000+01:00
,closed,,,,CREATION,1,ro,,,,,,d3dbc402-f99c-4041-b5b8-a905aec4d6da,rnbdsh@negateWindow: Wrong description,9084941,9084941,2017-12-11T08:59:35.000+01:00,2017-12-15T19:05:42.000+01:00
,closed,,,,CREATION,2,ro,,,,,,b07f2103-172d-4823-88be-692bfa0668ad,Extensions : Cinnamon Tweaks,18121470,18121470,2017-11-29T16:21:00.000+01:00,2017-11-29T19:29:32.000+01:00
,closed,,,,CREATION,0,ro,,,,,,0c85ffa0-cd7f-41ea-b1cf-f65700da516b,Flipper@connverdev: Add compatibility for Cinnamon 3.6 series,1271348,1271348,2017-11-16T11:06:05.000+01:00,2017-11-16T11:19:14.000+01:00
,closed,,,,CREATION,7,ro,,,,,,f6e45276-2e65-4314-95bc-488bd9cf551d,Update transparent-panels@germanfr,10391266,10391266,2017-11-13T18:19:32.000+01:00,2017-11-13T18:44:26.000+01:00
,closed,,,,CREATION,0,ro,,,,,,29bde6dd-de94-4cbb-90b5-6421c7b9ba56,translation status tables: add python scripts,8415124,8415124,2017-10-13T21:37:11.000+02:00,2017-10-13T21:37:17.000+02:00
,closed,,,,CREATION,1,ro,,,,,,844b4d65-17a8-41ec-96ed-8d5fba9b7598,add validate-spice and cinnamon-json-makepot scripts,8415124,8415124,2017-09-20T17:42:52.000+02:00,2017-09-20T17:49:48.000+02:00
